,, , ,,,,,,Ephemeroptera,Plecoptera,Trichoptera,Trichoptera/Hydropsychidae,Anisoptera,Zygoptera,Megaloptera/Coryadidae,Megaloptera/Sialidae,Megaloptera ,Coleoptera,Diptera (flies),Diptera (flies),Diptera (flies),Diptera (flies),Diptera (flies),Amphipoda ,Isopoda,Decapoda,Oligochaeta,Hirundinea,Turbellaria,Gastropoda,Unknown,,Biotic index
Date retrieved from water,Group #,Leaf Pack Number,Location ,Pond/Creek,Site Description,Initial leaf mass,final leaf mass,Who sorted?,(mayflies),(stoneflies),(caddisflies),(netspinner caddisflies),(dragonflies),(damselflies),(hellgrammites),(alderflies),Dobsonfly ,(beetles),Atherdicidae (watersnipe flies),Chironomidae (midges),Simuliidae (black flies),Tipulidae (crane flies),Unknown type,(scuds),(aquatic sowbug),(crayfish),(Worms),(leeches),,(snails),,Leech Eggs,
4.8.19,,397,before natural area,Bridge,briddge over creek,10g,7.6 g,Belinda Wan,13,0,0,0,0,0,0,1,0,1,0,4,0,0,0,12,8,1,5,1,0,0,0,0,5.862222222
4/8/19,,113,before natural area ,Bridge,bridge over creek ,10g,8.7 g,Katie McCartney,,2,,,,,,,,,,,,,,2,,,2,2,,,,,5.75
04/03/2019,,224,Buffalo Creek,Creek,Country/farm area under road,10g,7.9g,Kameron Winters,3,,,,,2,,2,,,,1,,,,9,16,,2,,,1,,,6.772222222
4/3/2019,,279,Buffalo Creek,Creek,Creek in country under bridge,10g,11.3g,"Stefan Toomey, Christian Yanes",11,,1,,,2,,,,,,,,,,10,11,,,1,,,,,5.9
04/03/2019,,136,Buffalo Creek,Creek,Creek in country under bridge,10g,6.8g,Jenny Waters and Heather Wetreich,8,,,,,1,,,,,,,,,,7,9,,,,1,,,,6.069230769
04/03/2019,,309,Buffalo Creek,Creek,Creek in country under bridge ,10g,8.7,Emily Van Beek,0,0,1,0,0,3,0,0,,0,0,3,0,0,0,33,6,0,0,0,0,3,,,6.302040816
04/03/2019,,327,Buffalo Creek,Creek,Creek in Park,10g,8.1g,Alex Dessoye,1,16,3,,,,,,,,,,,,,,,,,,,,,,1.4
,,264,Golf Course,Pond,Golf course pond,10g,6.7g,"Clara Mankowski, Abby Fisher",11,,,,,2,,,,,,11,,,,1,,,2,,,,,,5.244444444
04/03/2019,9,277,Golf Course,Pond,Golf course pond,10g,6.9g,Casey Morrow,4,,,,,,,,,,,,,,,8,,,8,,,,,,6.32
4/3/19,,282,Golf course,pond,golf course pond,10g,11.6,Sarah Knox,,,,,1,1,,,,,,5,,,1,1,,,3,,,,,,6.416666667
04/04/2019,,319,Golf Course,Pond,Golf Course Pond ,10g,6.5g,Joshua Mejia,,,1,,,,,,,,,,,,,,,,,,,2,,,5.6
4/3/19,,391,Golf course,pond,golf course pond with algae,10g,21.5 g,Elyse Nissley,2,,,,,,,,,,,2,,,,,,,,,,,,,4.8
04/03/2019,,392,Golf Course,Pond,Pond on golf course,10g,5.4g,Alyssa Peeples,1,,,,,,,,,,,,,,,9,1,,1,,,,,,6.133333333
4/3/19,,314,Golf Course,Pond,Pond on golf course,10g,5.9g,Shannon Love,2,,,,,,,3,,,,,,,4,,,,,,,5,,,5.585714286
04/03/19,,141,Golf Course,Pond,Pond on the golf course,10g,8.1g,"10 - Defne Sement , Gryff Griffin ",4,,,,,,,,,,,,,,,,,,2,,3,,,,6.044444444
04/03/2019,,199,Hufnagle Park,Creek,Creek in park,10g,6.7g,"Hope, Jon",2,0,0,0,0,0,0,0,,0,0,0,0,0,0,36,0,0,4,0,0,0,,,6.076190476
04/03/2019,,318,Hufnagle Park,creek,Creek in the park,10g ,7.8,"Marcela, Chris",,,4,,,,,,,2,,,,3,,1,1,,5,,,,,,5.3
04/03/2019,,256,Hufnagle Park,Pond,Pond in park,10g,7.6g,Liam and Jimin ,17,,,,,5,,,,,,8,,,,,,,5,,,,,,5.262857143
4/3/19,,21,Laurel Run,creek,flowing creek surrounded by woods,10 g,9.1 g,McKayla Charney,136,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3.55952381
4/8/19,20,142,Laurel Run,creek,creek in a park,10g,8.4 g,maddy desisto,66,23,3,,,,,,,,,,,,,,,,,,,1,1 crainfly larva,,2.967741935
04/03/19,,270,Laurel Run,Creek,Creek in park,10g,9.5g,Abike Beke,14,3,0,,2,6,,1,,,,,,,,1,,,1,,,,,,4.335714286
4/3/2019,,226,Laurel Run,creek,creek in park,10g,6.2g,Justin Falcone,22,1,2,,,23,,,,,,1,,,,,,1,,,,,,,5.156
4/3/19,,12,Laurel Run,creek,creek in park,10g,9.639g,Paige Caine,36,3,,,4,7,,,,,,,,,,9,,,,,,,,,4.26440678
4/3/19,,,Laurel Run,creek,creek in park,10g,1.3g,Dillon Duttera,25,1,,,,,,,,,,,,,,,,,,,,,,,3.5
04/03/2019,,313,Laurel Run,creek,creek in park,10g,9.7,Kyle Fouke,57,29,12,,,,,,,,,,,,,,,,,,,,,,2.732653061
4/8/2019,,118,Miller Run,Bridge,Bridge over creak,10 g,12.0 g,Abigail McMullin,1,,,,,3,,,,,,5,,,,,6,,,,,4,,,6.873684211
4/8/2019,,268,Miller Run,creek,bridge over creek,10g,11.0g,Harry Huang,6,,,,,,,,,,,,,,,,3,,,2,,5,7,,6.0375
4/8/2019,,322,Miller Run,Creek,Bridge over creek,10g,5g,Mesa Ashton,0,0,2,,,,,,,1,,,,,,12,,,3,,,,,,5.976470588
04/08/19,,227,Miller Run,Creek,Creek,10 g,6.52,Ashley Blair,,,,1,,,,,,,,,,,,4,,,4,,,6,,,6.866666667
04/08/19,,68,Miller Run,Creek,Creek on campus,10g,9.8,Serissa Baxter,0,0,0,8,0,0,4,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,,,5.2
4/8/19,,316,Miller Run,creek,Natatorium,10g,7.3g,payton capes,,,,1,,,,,,2,4,,,,12,,,,,,9,4,,,6.166666667
4/8/2019,,147,Miller Run,Creek,On campus near parking lot,10 g,8.0 g,Shawna Vice,1,,,,,,,,,,,4,,,,20,3,,5,2,,,,,6.502857143
04/03/2019,13,162,Miller Run,Creek,Under bridge/Country ,10g,7.22g,"Robert, Palma",,,,,,,,,,,,14,,,,4,,,4,,,,,,6.363636364
4/8/19,7,166,Miller Run,creek ,bridge over creek ,10 g,7.4 g,Anna C.,4,,,,,2,,3,,,,2,,,,,13,,1,,,,,,6.576
4/8/2019,,109,Miller Run,Creek ,Creek on campus,10g,6.5,Chiara Evans,,,2,,,,,,,,,,,,,17,2,,,,,8,,,6.193103448
04/08/2019,,335,NA Pond,Pond,Pond in natural area,10g,7.8g,Bryanna Yost,,,,,,,,,,,,,,,,,12,,,7,,6,,,7.76
4/8/2019,,394,NA Pond,Pond,Pond in Nature Area,10g,6.6 g,Alivia Hunter,8,3,21,,,5,,,,3,,,,,,,7,,5,4,6,2,,,5.173770492
4/8/2019,,196,NA Pond,Pond,Pond in Nature Area,10g,,Rebecca Kelly,1,,3,,,,,,,5,,,,,,,22,,3,15,,,,54,7.545454545
,,153,NA Pond,Pond,Pond in Nature Area,10g,6.7,Isabelle DeZenzo,4,,,,,,,,,,,,,,,,,,,3,4,4,,,6.56
4/8/2019,,393,NA Pond,Pond,Pond in Nature Area,10g,6.5,Kara Checke,,,1,,,5,,,,15,,,,,,28,7,,,1,13,5,,,6.813333333
4/8/19,,112,NA Pond,Pond,Pond in Nature Area,10g,6.7g,Hannah Grillo,,,,,,,,,,,,,,,,12,16,,3,17,,1,,86,7.489795918
04/03/19,11,792,Spring Run,Pond,Human impacted pond,10g,11.2g,Kaitlin Kennedy,4,1,,,,,,,,,,2,,,,,,,,,,,,,3.914285714
04/03/2019,,340,Spring Run,Pond,Human impacted pond,10g,11.7,Megan Maar,2,,,,,2,,,,,,,,,,,,,,,,,,,5.3
04/03/2019,,180,Spring Run,Pond,Human impacted pond,10g,7.3g,Joe Scott,9,,,,2,,,,,,,3,,,,7,,,,,,1,,,4.881818182
4/3,,226,Spring Run,Pond,Human impacted pond,10g,6.2g,Michael Ling,,,,,,,,,,,,10,1,,1,,,,,,,,,,6
04/03/2019,,312,Spring Run,pond,Human impacted pond,10g,8.4g,Liutauras Repsys,8,,1,,,,,,,,,,,,,,,,,,7,,,,5.475
04/03/2019,,390,Spring Run,pond,Human impacted pond,10g,5.9g,Michael Ling,3,,,,,,,,,,,13,,,,,5,,2,,,,,,6.295652174
04/03/2019,,262,Spring Run ,Pond,Human impacted pond,10g,7.9g,Chase Hoehn,15,,,,,1,,,,,,1,,,,,,,3,,,,,,4.55
04/08/2019,,32,Stony Run,Creek,Cold rocky creek,10g,6.3,Go Ogata,6,1,10,4,6,0,0,0,0,0,0,,,,2,,1,,3,,,,,,4.2
04/08/2019,,271,Stony Run,Creek,"Cold, rocky run through hemlock/deciduous forest. Minimal human impact.",10g,6.2g,Alex Busato,21,3,5,1,0,1,0,0,,4,0,0,0,2,0,0,0,0,2,0,0,0,1 Salamander Larva,,3.617142857
04/07/2019,,113,Stony Run,creek,creek,10g,2.9g,Lindsey B and Julia B,47,2,11,,,11,,,,,,,,,,,,,,,,,,,3.929577465
04/08,,152,Stony Run,Creek,Creek,10g,6.2,Gabby Kessel,12,3,4,,0,3,,,,,,,,1,,,,,2,,,,,,3.896
04/08/19,,159,Stony Run,Creek,Creek,10g,7.5g,P.J. Strahm,5,16,12,,,,,,,,,,,,1,1,,,,,,,,,2.274285714
4/8/2019,,121,Stony Run,Creek,creek in park,unmatched,8.8g,"Max Malika, Abby Turco",75,,8,1,,,,22,,,,,,,,,,,,,,,,,3.635849057
04/08/19,,138,Stony Run,Creek,Creek on campus,10g,8.1,Kendyll Hazzard,1,5,23,1,0,5,,,,,,,,,,,21,,,,3,,,,5.169491525
04/08/2019,,166,Stony Run,Creek,Wooded area with large creeks,10g,7g,Riley McDonnell,8,1,38,2,,,,,,,,,,,,,,,,,,,,,2.983673469
,,,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
04/08/2019,,254,,Creek,Bridge over creek,10g,9.35,Kelsey Bordash,1,,,,,1,,,,,,,,,,,,,,2,,,,,6.65
4/8/2019,,345,,Creek,bridge over creek,10g,21.7,Caroline Saef and Kristin Smith,4,,3,,,1,,,,,,1,,,,2,2,,,,,,,,4.907692308
4/8/19,,306,,Creek ,Bridge over creek,10g,9.2g,Ally Johnson,,,,,,1,,,1,,,,,,4,,,,,,1,,,,6.228571429
4/8/19,,117,,creek ,bridge over creek ,10g,6.2g,Sarah Bain,,,,,,4,,,,,,,,,,,14,,,5,,,,,7.826086957
04/08/2019,,146,,creek,brige over creek,10g,6.6g,Natalie Slupe,5,,,,,,,,,,,,,,,,2,,,,,1,,,5.125
